Id,LotShape,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,OverallQual,OverallCond,SalePrice
181,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,Unf,TA,TA,Y,NA,NA,6,5,177000
182,Reg,Gtl,TA,TA,Fa,TA,No,LwQ,Unf,Gd,TA,Typ,Gd,Unf,Fa,TA,Y,NA,NA,7,6,200100
183,Reg,Gtl,TA,TA,NA,NA,NA,NA,NA,Ex,TA,Typ,Gd,RFn,TA,TA,Y,NA,MnPrv,5,6,120000
184,Reg,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Mod,NA,Unf,TA,TA,N,NA,NA,7,5,200000
185,IR1,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,8,127000
186,IR2,Gtl,Gd,Gd,TA,TA,Mn,Unf,Unf,Ex,Ex,Typ,TA,Unf,Ex,TA,Y,NA,GdPrv,10,9,475000
187,IR1,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,NA,Unf,TA,TA,Y,NA,GdPrv,7,5,173000
188,Reg,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Ex,TA,Min2,NA,Unf,Fa,Fa,N,NA,MnPrv,5,7,135000
189,Reg,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,TA,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,5,5,153337
190,Reg,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,286000
191,Reg,Mod,Gd,TA,Gd,Gd,No,Rec,Unf,TA,Gd,Maj1,TA,Unf,TA,TA,Y,NA,NA,8,8,315000
192,IR1,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Gd,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,7,9,184000
193,IR1,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,7,5,192000
194,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Maj1,NA,Unf,TA,TA,Y,NA,NA,7,5,130000
195,IR1,Gtl,TA,TA,TA,TA,Av,ALQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,7,127000
196,Reg,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,TA,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,6,6,148500
197,Reg,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,5,311872
198,Reg,Gtl,Gd,Gd,TA,TA,No,GLQ,LwQ,Gd,Gd,Typ,Ex,Unf,TA,TA,Y,Ex,GdPrv,8,4,235000
199,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Typ,NA,NA,NA,NA,Y,NA,MnPrv,6,6,104000
200,Reg,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,274900
201,Reg,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,4,5,140000
202,Reg,Gtl,TA,TA,TA,TA,No,ALQ,LwQ,TA,TA,Typ,Fa,Unf,TA,TA,Y,NA,MnPrv,6,6,171500
203,Reg,Gtl,TA,Gd,Fa,TA,No,LwQ,Unf,Gd,TA,Min1,NA,Unf,TA,TA,Y,NA,NA,6,6,112000
204,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,6,5,149000
205,Reg,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,MnWw,5,7,110000
206,Reg,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,180500
207,IR1,Gtl,TA,Gd,TA,TA,No,Unf,Unf,TA,TA,Min2,TA,RFn,TA,TA,Y,NA,NA,5,5,143900
208,IR1,Gtl,TA,TA,TA,TA,No,ALQ,Rec,TA,TA,Typ,Po,RFn,TA,TA,Y,NA,GdWo,4,5,141000
209,IR1,Mod,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,TA,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,5,277000
210,Reg,Gtl,TA,TA,Gd,TA,No,Rec,Unf,Ex,TA,Typ,NA,RFn,TA,Gd,Y,NA,MnPrv,6,7,145000
211,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,NA,NA,NA,NA,Y,NA,NA,5,6,98000
212,Reg,Gtl,TA,TA,Gd,TA,Mn,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,186000
213,Reg,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,5,252678
214,IR2,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,156000
215,IR1,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,TA,Typ,NA,Fin,TA,TA,Y,NA,MnPrv,6,7,161750
216,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,Gd,Min1,Fa,Unf,TA,TA,Y,NA,MnPrv,5,6,134450
217,Reg,Gtl,Gd,TA,Gd,TA,Mn,GLQ,Unf,Ex,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,7,5,210000
218,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,4,4,107000
219,IR1,Gtl,Gd,Gd,TA,TA,No,BLQ,Unf,Ex,Gd,Typ,TA,Unf,TA,TA,Y,NA,NA,7,9,311500
220,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,7,5,167240
221,IR1,Gtl,Gd,TA,Gd,TA,Mn,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,204900
222,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,6,5,200000
223,Reg,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,TA,TA,Typ,TA,RFn,TA,TA,Y,NA,MnPrv,6,6,179900
224,Reg,Gtl,TA,TA,TA,TA,No,ALQ,LwQ,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,4,6,97000
225,Reg,Gtl,Ex,TA,Ex,TA,Gd,GLQ,Unf,Ex,Ex,Typ,Ex,Fin,TA,TA,Y,NA,NA,10,5,386250
226,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,112000
227,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,5,290000
228,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,6,106000
229,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,Fa,Unf,TA,TA,Y,NA,MnPrv,5,5,125000
230,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,192500
231,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,6,6,148000
232,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Ex,Typ,TA,Fin,TA,TA,Y,NA,NA,8,5,403000
233,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,Po,Unf,TA,TA,Y,NA,NA,6,5,94500
234,Reg,Gtl,TA,TA,TA,Gd,Av,LwQ,ALQ,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,6,128200
235,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,216500
236,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,3,89500
237,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,185500
238,IR1,Gtl,Gd,TA,Gd,TA,No,BLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,7,194500
239,Reg,Gtl,Ex,TA,Ex,TA,No,Unf,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,8,5,318000
240,Reg,Gtl,TA,TA,TA,Fa,No,LwQ,Unf,TA,TA,Typ,Gd,Unf,TA,TA,Y,NA,MnPrv,6,4,113000
241,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,8,5,262500
242,Reg,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Gd,Gd,Typ,NA,NA,NA,NA,Y,NA,NA,5,9,110500
243,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,Fa,TA,Y,NA,NA,5,4,79000
244,Reg,Gtl,TA,TA,Gd,TA,No,Unf,Unf,TA,TA,Typ,TA,RFn,TA,TA,Y,NA,NA,6,6,120000
245,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,Fa,RFn,TA,TA,Y,NA,NA,7,5,205000
246,Reg,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Gd,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,241500
247,Reg,Gtl,TA,Fa,Fa,TA,No,Unf,Unf,Gd,Fa,Typ,NA,Unf,Po,Po,Y,NA,NA,6,8,137000
248,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,6,5,140000
249,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,180000
250,IR2,Sev,Gd,TA,Gd,TA,Gd,Rec,Unf,Gd,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,6,7,277000
251,IR1,Gtl,TA,Po,TA,TA,No,Unf,Unf,Ex,Fa,Mod,NA,NA,NA,NA,Y,NA,GdWo,3,2,76500
252,IR1,Mod,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,235000
253,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,173000
254,Reg,Gtl,TA,TA,Gd,TA,Gd,LwQ,ALQ,Ex,Gd,Min1,NA,RFn,TA,TA,Y,NA,MnPrv,6,7,158000
255,Reg,Gtl,TA,Gd,TA,TA,No,Rec,Unf,TA,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,5,6,145000
256,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,230000
257,IR1,Gtl,Gd,TA,Gd,TA,No,Rec,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,207500
258,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,5,220000
259,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,5,231500
260,Reg,Gtl,TA,TA,NA,NA,NA,NA,NA,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,97000
261,Reg,Gtl,TA,TA,TA,TA,Gd,Rec,ALQ,TA,TA,Typ,TA,Unf,TA,TA,Y,NA,GdWo,6,5,176000
262,IR1,Gtl,Gd,TA,Ex,TA,No,Unf,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,276000
263,IR1,Gtl,TA,TA,Gd,Gd,Av,ALQ,Unf,TA,TA,Typ,TA,Unf,TA,TA,Y,NA,GdWo,6,7,151000
264,Reg,Gtl,TA,TA,TA,TA,No,LwQ,ALQ,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,7,130000
265,IR3,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,N,NA,NA,5,5,73000
266,IR1,Gtl,TA,Gd,Gd,TA,No,GLQ,LwQ,TA,Gd,Typ,TA,Fin,TA,TA,Y,NA,GdPrv,6,6,175500
267,IR1,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Gd,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,185000
268,Reg,Mod,TA,TA,TA,TA,No,LwQ,Unf,Ex,Gd,Typ,Gd,Unf,TA,TA,Y,NA,NA,5,8,179500
269,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Rec,Ex,TA,Typ,Gd,Fin,Ex,Ex,Y,NA,NA,5,6,120500
270,IR1,Gtl,TA,Gd,TA,Gd,No,BLQ,Unf,TA,TA,Typ,Fa,RFn,TA,Gd,Y,NA,GdPrv,6,7,148000
271,Reg,Gtl,Gd,TA,Gd,TA,Mn,Unf,Unf,Gd,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,266000
272,IR1,Sev,TA,TA,Gd,TA,Gd,LwQ,GLQ,Ex,TA,Mod,TA,Unf,TA,TA,Y,NA,NA,7,7,241500
273,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,7,290000
274,Reg,Gtl,TA,TA,TA,TA,No,Rec,LwQ,Gd,TA,Min1,Gd,RFn,TA,TA,Y,NA,MnPrv,6,6,139000
275,Reg,Gtl,TA,TA,TA,TA,Gd,ALQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,7,124500
276,Reg,Gtl,Gd,Gd,TA,TA,No,Unf,Unf,Gd,Ex,Typ,NA,Unf,TA,TA,Y,NA,NA,7,7,205000
277,IR1,Gtl,Gd,TA,Ex,TA,No,Unf,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,7,5,201000
278,Reg,Gtl,TA,TA,TA,TA,No,LwQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,4,5,141000
279,Reg,Gtl,Ex,TA,Ex,TA,Gd,Unf,Unf,Ex,Ex,Typ,Ex,Fin,TA,TA,Y,NA,NA,9,5,415298
280,Reg,Gtl,TA,TA,Gd,TA,No,BLQ,Unf,Ex,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,192000
281,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Gd,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,7,6,228500
282,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Gd,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,6,5,185000
283,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,5,207500
284,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,244600
285,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Gd,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,179200
286,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,164700
287,IR1,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,Gd,Typ,Gd,RFn,TA,TA,Y,NA,GdPrv,6,7,159000
288,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,NA,NA,NA,NA,Y,NA,NA,4,4,88000
289,IR1,Gtl,TA,Gd,TA,TA,No,BLQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,5,122000
290,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,7,153575
291,Reg,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Gd,Typ,Gd,RFn,Gd,TA,Y,NA,NA,8,5,233230
292,Reg,Gtl,TA,Fa,TA,Fa,No,Rec,Unf,Ex,Fa,Typ,NA,NA,NA,NA,N,NA,NA,5,6,135900
293,Reg,Gtl,TA,TA,TA,TA,No,LwQ,Unf,Gd,TA,Min2,Gd,Unf,TA,TA,Y,NA,NA,5,4,131000
294,IR1,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Fa,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,7,7,235000
295,Reg,Gtl,TA,TA,TA,TA,No,GLQ,Unf,TA,TA,Typ,Gd,Fin,TA,TA,Y,NA,NA,6,5,167000
296,IR1,Gtl,TA,TA,TA,TA,Av,GLQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,GdPrv,6,6,142500
297,Reg,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,5,152000
298,IR1,Gtl,Gd,TA,Gd,TA,No,BLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,5,239000
299,Reg,Gtl,Gd,TA,TA,TA,No,ALQ,Rec,Gd,TA,Typ,Gd,Unf,TA,TA,Y,NA,NA,6,6,175000
300,Reg,Gtl,TA,Gd,TA,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,Unf,TA,TA,Y,NA,GdPrv,6,8,158500
301,Reg,Gtl,TA,TA,TA,TA,Mn,BLQ,Unf,TA,TA,Typ,Gd,Unf,TA,TA,Y,NA,NA,5,5,157000
302,IR3,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,8,5,267000
303,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,5,205000
304,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,GdWo,5,7,149900
305,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Gd,Typ,Ex,Unf,TA,TA,Y,NA,NA,7,9,295000
306,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,8,5,305900
307,Reg,Gtl,Gd,TA,Gd,TA,No,ALQ,Unf,Gd,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,5,225000
308,IR1,Gtl,TA,Fa,TA,TA,No,Unf,Unf,TA,Fa,Typ,NA,NA,NA,NA,N,NA,MnPrv,6,7,89500
309,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,4,5,82500
310,IR1,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Ex,Typ,Ex,Fin,TA,TA,Y,NA,NA,9,5,360000
311,IR1,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,Gd,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,165600
312,Reg,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Ex,TA,Typ,Gd,Unf,TA,TA,Y,NA,NA,6,6,132000
313,Reg,Gtl,TA,TA,Gd,TA,Mn,Rec,Unf,TA,TA,Typ,Gd,Unf,TA,TA,Y,NA,MnPrv,5,7,119900
314,IR3,Sev,TA,TA,Gd,TA,Gd,ALQ,Rec,TA,TA,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,5,375000
315,Reg,Gtl,TA,TA,TA,Gd,No,LwQ,Unf,Ex,Ex,Typ,Gd,Unf,Fa,TA,Y,NA,NA,7,7,178000
316,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,5,188500
317,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,TA,Ex,Typ,TA,RFn,TA,TA,Y,NA,GdPrv,7,7,260000
318,Reg,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,270000
319,Reg,Mod,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,5,260000
320,Reg,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,TA,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,7,5,187500
321,Reg,Gtl,TA,TA,Ex,Gd,Av,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,9,5,342643
322,IR1,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,354000
323,IR1,Gtl,Gd,TA,TA,TA,Gd,LwQ,ALQ,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,MnPrv,7,5,301000
324,Reg,Gtl,TA,Gd,TA,TA,No,ALQ,Unf,Ex,TA,Typ,NA,Unf,Fa,TA,Y,NA,NA,3,8,126175
325,Reg,Gtl,Gd,Gd,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,7,242000
326,Reg,Gtl,TA,TA,TA,TA,Av,BLQ,Unf,Po,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,6,87000
327,IR1,Gtl,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,324000
328,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,145250
329,IR1,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,6,6,214500
330,Reg,Gtl,TA,TA,TA,TA,Mn,Unf,Unf,TA,TA,Typ,NA,Unf,Fa,Fa,N,NA,GdWo,5,5,78000
331,IR1,Gtl,TA,TA,TA,TA,No,GLQ,Rec,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,4,119000
332,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Fa,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,5,6,139000
333,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,NA,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,284000
334,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,5,207000
335,IR1,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,Gd,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,192000
336,IR1,Sev,TA,TA,TA,TA,Gd,ALQ,BLQ,Ex,TA,Typ,Gd,Fin,TA,TA,Y,NA,NA,5,6,228950
337,IR1,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,377426
338,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,214000
339,Reg,Gtl,Gd,TA,Gd,TA,Mn,ALQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,7,202500
340,IR1,Gtl,TA,TA,TA,Fa,No,Rec,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,7,155000
341,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,8,5,202900
342,Reg,Gtl,Fa,Fa,TA,Fa,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,N,NA,NA,4,4,82000
343,Reg,Gtl,TA,TA,NA,NA,NA,NA,NA,Fa,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,3,4,87500
344,IR1,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Ex,RFn,TA,TA,Y,NA,NA,9,5,266000
345,Reg,Gtl,TA,TA,Gd,TA,No,Rec,BLQ,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,3,85000
346,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Fa,Typ,Gd,Unf,TA,TA,Y,NA,NA,6,5,140200
347,IR1,Gtl,TA,Gd,TA,TA,Mn,BLQ,Unf,TA,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,6,8,151500
348,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,TA,Typ,Gd,Unf,TA,TA,Y,NA,NA,6,5,157500
349,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,154000
350,IR2,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Ex,Fin,TA,TA,Y,NA,NA,9,5,437154
351,IR1,Gtl,Ex,TA,Ex,TA,No,Unf,Unf,Ex,Ex,Typ,Gd,RFn,TA,TA,Y,NA,NA,9,5,318061
352,IR1,Mod,TA,TA,Gd,TA,Gd,GLQ,Unf,Gd,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,5,190000
353,Reg,Gtl,TA,TA,TA,Fa,Mn,LwQ,Rec,TA,TA,Typ,NA,Unf,TA,Fa,Y,NA,NA,5,6,95000
354,Reg,Gtl,TA,Gd,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,8,105900
355,Reg,Gtl,TA,TA,TA,TA,No,LwQ,Unf,Ex,TA,Typ,Gd,Unf,TA,TA,Y,NA,NA,6,5,140000
356,IR2,Gtl,Gd,Gd,Gd,Gd,No,ALQ,BLQ,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,177500
357,IR1,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Gd,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,6,6,173000
358,Reg,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,TA,TA,Typ,Po,Fin,TA,TA,Y,NA,MnPrv,5,5,134000
359,IR1,Gtl,TA,TA,TA,TA,Av,BLQ,Rec,Ex,Gd,Min2,NA,Unf,TA,TA,Y,NA,NA,5,4,130000
360,IR1,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,8,5,280000
361,IR1,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Ex,TA,Typ,TA,RFn,TA,TA,Y,NA,MnPrv,6,6,156000
